element_id,sbml_type,element_description,unit,URI,description,remark
Lung,compartment,lung,,uberon/UBERON:0000479,Lung compartment.,
Trans,compartment,transfer compartment,L,,,
Sc,compartment,stratum corneum,L,uberon/UBERON:0002027,Stratum corneum compartment.,
Ve,compartment,viable epidermis,L,,Viable epidermis compartment.,
Skin,compartment,skin,L,uberon/UBERON:0002097,Skin compartment.,
Ven_Plas,compartment,venous blood,L,uberon/UBERON:0013756,Venous blood compartment.,
Art_Plas,compartment,arterial blood,L,uberon/UBERON:0013755,Arterial blood compartment.,
Gut,compartment,gut,L,uberon/UBERON:0001555,Gut (digestive tract) compartment.,
Liv,compartment,liver,L,uberon/UBERON:0002107,Liver compartment.,
Fat,compartment,adipose tissue,L,uberon/UBERON:0001013,Adipose tissue (fat) compartment.,
Kid,compartment,kidney,L,uberon/UBERON:0002113,Kidney compartment.,
Fil,compartment,filtrate,L,,Filtrate compartment.,
Delay,compartment,storage compartment of urine,L,,,
Urine,compartment,urine,L,uberon/UBERON:0001088,Urine compartment.,
Rest,compartment,rest-of-body,L,,Rest-of-body compartment.,
Alung,species,quantity in lung,,,,
Atrans,species,quantity in transfer compartment,,,,
Asc,species,quantity in stratum corneum,,,,
Ave,species,quantity in viable epidermis,,,,
ASk,species,quantity in skin,,,,
AVen_Plas,species,quantity in venous blood plasma,,,,
AArt_Plas,species,quantity in arterial blood plasma,,,,
AG,species,quantity in gut,,,,
AL,species,quantity in liver,,,,
AF,species,quantity in fat,,,,
AK,species,quantity in kidney,,,,
Afil,species,quantity in filtrate,,,,
Adelay,species,quantity in delay,,,,
Aurine,species,quantity in urine,,,,
AR,species,quantity in rest-of-body,,,,
BW,parameter,body mass,,http://purl.obolibrary.org/obo/NCIT_C81328,Body mass (or body weight) parameter.,
QCC,parameter,cardiac blood output,L/(d.kg^0.75),,Cardiac blood output as a function of body weight.,
QFC,parameter,fraction cardiac output going to fat,,,,
QLC,parameter,fraction cardiac output going to liver,,,,
QKC,parameter,fraction cardiac output going to kidney,,,,
QSkC,parameter,fraction cardiac output going to skin,,,,
