idModelInstance,Parameter,Value,Remark
PFOA_Human_Westerhout_2024, MW, 414.07,
PFOA_Human_Westerhout_2024, logP, 4.81,
PFOA_Human_Westerhout_2024, VP, 2.34,
PFOA_Human_Westerhout_2024, Tmc, 144000,
PFOA_Human_Westerhout_2024, Kt, 55,
PFOA_Human_Westerhout_2024, Free, 0.02,
PFOA_Human_Westerhout_2024, PL, 2.2,
PFOA_Human_Westerhout_2024, PF, 0.04,
PFOA_Human_Westerhout_2024, PK, 1.05,
PFOA_Human_Westerhout_2024, PSk, 0.1,
PFOA_Human_Westerhout_2024, PR, 0.12,
PFOA_Human_Westerhout_2024, PG, 0.05,
PFOA_Human_Westerhout_2024, PLun, 1.27,
PFOA_Human_Westerhout_2024, kurinec, 0.0072,
PFOA_Human_Westerhout_2024, QCC, 300,
PFOA_Human_Westerhout_2024, QFC, 0.052,
PFOA_Human_Westerhout_2024, QLC, 0.069,
PFOA_Human_Westerhout_2024, QKC, 0.175,
PFOA_Human_Westerhout_2024, QSkC, 0.058,
PFOA_Human_Westerhout_2024, QGC, 0.181,
PFOA_Human_Westerhout_2024, VLC, 0.026,
PFOA_Human_Westerhout_2024, VFC, 0.214,
PFOA_Human_Westerhout_2024, VKC, 0.004,
PFOA_Human_Westerhout_2024, VfilC, 0.0004,
PFOA_Human_Westerhout_2024, VGC, 0.0171,
PFOA_Human_Westerhout_2024, VlunC, 0.007,
PFOA_Human_Westerhout_2024, VPlasC, 0.0428,
PFOA_Human_Westerhout_2024, Htc, 0.44,
